2017-06-14 11:47:53.244 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\Planning\App_Data\' with level Info
2017-06-14 11:47:53.897 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-14 11:47:54.077 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' because the user is already in group.
2017-06-14 11:47:54.281 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:47:54.350 WARN  NServiceBus.QueuePermissions Queue [private$\Planning.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:47:54.381 WARN  NServiceBus.QueuePermissions Queue [private$\Planning.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:47:54.425 WARN  NServiceBus.QueuePermissions Queue [private$\Planning.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:47:54.460 WARN  NServiceBus.QueuePermissions Queue [private$\Planning] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:47:54.482 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:47:54.499 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:47:54.511 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:48:14.859 INFO  Planning.Sagas.PlanningSaga Planning is started for PlanId = 8410f92d-2ccd-434c-aa4b-98464654bcd4
2017-06-14 11:48:14.866 INFO  Planning.Handlers.StartPlanningHandler Received StartPlanningCommand, PlanId = 8410f92d-2ccd-434c-aa4b-98464654bcd4, Planning Started
2017-06-14 11:48:16.354 INFO  Planning.Sagas.PlanningSaga Stock was checked for PlanId = 8410f92d-2ccd-434c-aa4b-98464654bcd4
