2017-06-13 10:41:11.592 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-13 10:41:11.594 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-13 10:41:11.595 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-13 10:44:28.420 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\WebApi\App_Data\' with level Info
2017-06-13 10:44:28.603 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-13 10:44:28.710 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' because the user is already in group.
2017-06-13 10:44:28.798 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-13 10:44:28.811 WARN  NServiceBus.QueuePermissions Queue [private$\WebApi.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-13 10:44:28.822 WARN  NServiceBus.QueuePermissions Queue [private$\WebApi.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-13 10:44:28.831 WARN  NServiceBus.QueuePermissions Queue [private$\WebApi.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-13 10:44:28.842 WARN  NServiceBus.QueuePermissions Queue [private$\WebApi] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-13 10:44:28.850 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-13 10:44:28.853 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-13 10:44:28.855 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
